2025-11-27 20:12:20.061 [main] INFO  c.z.i.ImageSearchMcpApplication - Starting ImageSearchMcpApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 16424 (D:\EasyApplyResume\Image-Search-Mcp\target\Image-Search-Mcp-0.0.1-SNAPSHOT.jar started by zhaoyunhan1 in D:\EasyApplyResume)
2025-11-27 20:12:20.064 [main] INFO  c.z.i.ImageSearchMcpApplication - The following 1 profile is active: "stdio"
2025-11-27 20:12:21.437 [pool-1-thread-1] INFO  i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null], Info: Implementation[name=spring-ai-mcp-client, version=1.0.0]
2025-11-27 20:12:21.555 [main] INFO  c.z.i.ImageSearchMcpApplication - Started ImageSearchMcpApplication in 1.937 seconds (process running for 2.685)
2025-11-27 20:16:01.454 [main] INFO  c.z.i.ImageSearchMcpApplication - Starting ImageSearchMcpApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 28532 (D:\EasyApplyResume\Image-Search-Mcp\target\Image-Search-Mcp-0.0.1-SNAPSHOT.jar started by zhaoyunhan1 in D:\EasyApplyResume)
2025-11-27 20:16:01.456 [main] INFO  c.z.i.ImageSearchMcpApplication - The following 1 profile is active: "stdio"
2025-11-27 20:16:03.107 [pool-1-thread-1] INFO  i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null], Info: Implementation[name=spring-ai-mcp-client, version=1.0.0]
2025-11-27 20:16:03.318 [main] INFO  c.z.i.ImageSearchMcpApplication - Started ImageSearchMcpApplication in 2.479 seconds (process running for 3.387)
2025-11-27 20:17:50.388 [main] INFO  c.z.i.ImageSearchMcpApplication - Starting ImageSearchMcpApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 12512 (D:\EasyApplyResume\Image-Search-Mcp\target\Image-Search-Mcp-0.0.1-SNAPSHOT.jar started by zhaoyunhan1 in D:\EasyApplyResume)
2025-11-27 20:17:50.390 [main] INFO  c.z.i.ImageSearchMcpApplication - The following 1 profile is active: "stdio"
2025-11-27 20:17:51.483 [pool-1-thread-1] INFO  i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null], Info: Implementation[name=spring-ai-mcp-client, version=1.0.0]
2025-11-27 20:17:51.609 [main] INFO  c.z.i.ImageSearchMcpApplication - Started ImageSearchMcpApplication in 1.633 seconds (process running for 2.277)
2025-11-29 23:06:33.002 [main] INFO  c.z.i.ImageSearchMcpApplicationTests - Starting ImageSearchMcpApplicationTests using Java 21.0.9 with PID 21028 (started by zhaoyunhan1 in D:\EasyApplyResume\Image-Search-Mcp)
2025-11-29 23:06:33.003 [main] INFO  c.z.i.ImageSearchMcpApplicationTests - The following 1 profile is active: "stdio"
2025-11-29 23:06:33.955 [main] INFO  c.z.i.ImageSearchMcpApplicationTests - Started ImageSearchMcpApplicationTests in 1.23 seconds (process running for 2.724)
2025-11-29 23:06:35.040 [main] INFO  c.z.i.tools.ImageSearchTool - MCP Client: NULL
